"STATION_NAME","DATUM","cm_05","cm_10","cm_20","cm_50"
"Hamburg",2016-11-12,1,1.7,3.2,5.9
"Hamburg",2016-11-13,1.1,1.7,3,5.6
"Hamburg",2016-11-14,0.5,1.2,2.6,5.3
"Hamburg",2016-11-15,4.2,3.9,3.8,5.2
"Hamburg",2016-11-16,6.3,6,5.6,6
"Hamburg",2016-11-17,6.7,6.7,6.6,6.8
"Hamburg",2016-11-18,6,6.2,6.6,7.2
"Hamburg",2016-11-19,3.7,4.2,5.3,6.9
"Hamburg",2016-11-20,3.6,3.8,4.6,6.4
"Hamburg",2016-11-21,7.6,7.1,6.5,6.6
"Hamburg",2016-11-22,7.6,7.5,7.4,7.4
"Hamburg",2016-11-23,7.6,7.7,7.7,7.9
"Hamburg",2016-11-24,3.8,4.6,6.1,7.7
"Hamburg",2016-11-25,2.3,3,4.4,6.8
"Hamburg",2016-11-26,3.3,3.6,4.3,6.2
"Hamburg",2016-11-27,3.4,3.9,4.8,6.3
"Hamburg",2016-11-28,0.8,1.7,3.3,5.9
"Hamburg",2016-11-29,-0.1,0.7,2.3,5.1
"Hamburg",2016-11-30,0.1,0.6,1.9,4.6
"Hamburg",2016-12-01,5.3,4.7,4,4.7
"Hamburg",2016-12-02,2.9,3.5,4.5,5.5
"Hamburg",2016-12-03,0.8,1.5,2.9,5.1
"Hamburg",2016-12-04,0.4,1,2.2,4.5
"Hamburg",2016-12-05,-0.1,0.5,1.8,4.1
"Hamburg",2016-12-06,0,0.4,1.5,3.8
"Hamburg",2016-12-07,0.4,0.7,1.6,3.6
"Hamburg",2016-12-08,4,3.6,3.2,3.8
"Hamburg",2016-12-09,6.6,6,5.1,4.8
"Hamburg",2016-12-10,7.4,7,6.5,5.8
"Hamburg",2016-12-11,7,6.9,6.7,6.4
"Hamburg",2016-12-12,6.3,6.4,6.5,6.7
"Hamburg",2016-12-13,5.7,5.8,6,6.6
"Hamburg",2016-12-14,6.5,6.4,6.4,6.6
"Hamburg",2016-12-15,4.4,4.9,5.7,6.7
"Hamburg",2016-12-16,2.3,2.9,4.2,6.1
"Hamburg",2016-12-17,3.1,3.3,3.9,5.5
"Hamburg",2016-12-18,5.5,5.3,5,5.6
"Hamburg",2016-12-19,4.9,5.1,5.5,6.1
"Hamburg",2016-12-20,3.3,3.8,4.7,6
"Hamburg",2016-12-21,2.1,2.5,3.6,5.5
"Hamburg",2016-12-22,3.9,4,4.2,5.2
"Hamburg",2016-12-23,4.5,4.5,4.7,5.5
"Hamburg",2016-12-24,5.1,5,5.1,5.7
"Hamburg",2016-12-25,6.8,6.4,5.9,6
"Hamburg",2016-12-26,7.1,7.2,7.2,6.8
"Hamburg",2016-12-27,5.7,5.7,6,6.7
"Hamburg",2016-12-28,6.3,6.3,6.4,6.8
"Hamburg",2016-12-29,3.3,4.1,5.3,6.7
"Hamburg",2016-12-30,1,1.8,3.4,5.8
"Hamburg",2016-12-31,1.3,1.8,2.8,5
"Hamburg",2017-01-01,3.3,3.4,3.7,4.9
"Hamburg",2017-01-02,1.7,2.3,3.3,4.9
"Hamburg",2017-01-03,3.2,3.1,3.3,4.6
"Hamburg",2017-01-04,3.1,3.4,4,4.9
"Hamburg",2017-01-05,0.7,1.4,2.7,4.6
"Hamburg",2017-01-06,-0.4,0.4,1.7,4
"Hamburg",2017-01-07,-0.3,0.1,1.3,3.5
"Hamburg",2017-01-08,0,0.2,1.2,3.2
"Hamburg",2017-01-09,0,0.3,1.2,3
"Hamburg",2017-01-10,0.4,0.6,1.3,2.9
"Hamburg",2017-01-11,2.3,2.2,2.2,3.1
"Hamburg",2017-01-12,2,2.2,2.6,3.4
"Hamburg",2017-01-13,1.1,1.4,2.1,3.4
"Hamburg",2017-01-14,0.8,1.1,1.8,3.2
"Hamburg",2017-01-15,0.7,1,1.6,3.1
"Hamburg",2017-01-16,0.4,0.7,1.5,3
"Hamburg",2017-01-17,0,0.4,1.2,2.8
"Hamburg",2017-01-18,-0.1,0.3,1.1,2.7
"Hamburg",2017-01-19,0,0.3,1,2.6
"Hamburg",2017-01-20,0,0.3,1,2.5
"Hamburg",2017-01-21,0.1,0.3,1,2.5
"Hamburg",2017-01-22,0.2,0.4,1.1,2.5
"Hamburg",2017-01-23,0.3,0.5,1.1,2.4
"Hamburg",2017-01-24,0.6,0.8,1.3,2.5
"Hamburg",2017-01-25,0.7,0.9,1.4,2.6
"Hamburg",2017-01-26,0.7,0.9,1.4,2.6
"Hamburg",2017-01-27,0.3,0.6,1.3,2.6
"Hamburg",2017-01-28,0,0.4,1.1,2.5
"Hamburg",2017-01-29,0,0.3,1,2.4
"Hamburg",2017-01-30,0.9,1,1.4,2.5
"Hamburg",2017-01-31,0.8,0.9,1.3,2.5
"Hamburg",2017-02-01,1.6,1.5,1.7,2.5
"Hamburg",2017-02-02,2.3,2.2,2.2,2.7
"Hamburg",2017-02-03,3,2.9,2.8,3.1
"Hamburg",2017-02-04,3.7,3.5,3.3,3.4
"Hamburg",2017-02-05,3.3,3.3,3.5,3.9
"Hamburg",2017-02-06,2.8,3,3.3,3.9
"Hamburg",2017-02-07,1.4,1.8,2.6,3.7
"Hamburg",2017-02-08,0.7,1.1,2,3.4
"Hamburg",2017-02-09,0.3,0.7,1.5,3.1
"Hamburg",2017-02-10,-0.1,0.4,1.2,2.8
"Hamburg",2017-02-11,0,0.3,1.1,2.6
"Hamburg",2017-02-12,-0.1,0.3,1,2.4
"Hamburg",2017-02-13,-0.3,0.1,0.9,2.3
"Hamburg",2017-02-14,-0.6,-0.2,0.7,2.2
"Hamburg",2017-02-15,-0.6,-0.2,0.6,2.1
"Hamburg",2017-02-16,0.4,0.1,0.7,2
"Hamburg",2017-02-17,3.7,3.2,2.5,2.5
"Hamburg",2017-02-18,3.8,3.7,3.5,3.3
"Hamburg",2017-02-19,3.3,3.2,3.1,3.5
"Hamburg",2017-02-20,5.9,5.3,4.4,3.9
"Hamburg",2017-02-21,6.2,6.1,5.6,4.7
"Hamburg",2017-02-22,6.2,6,5.7,5.2
"Hamburg",2017-02-23,5,5,5.1,5.2
"Hamburg",2017-02-24,4.5,4.8,5.1,5.3
"Hamburg",2017-02-25,3,3.2,3.9,4.9
"Hamburg",2017-02-26,5.8,5.3,4.8,4.8
"Hamburg",2017-02-27,7.4,7,6.2,5.4
"Hamburg",2017-02-28,5.6,5.8,6,5.9
"Hamburg",2017-03-01,4.6,4.8,5.2,5.7
"Hamburg",2017-03-02,4.7,4.8,4.9,5.5
"Hamburg",2017-03-03,5.3,5.2,5.1,5.4
"Hamburg",2017-03-04,6.8,6.5,6,5.7
"Hamburg",2017-03-05,6.9,6.8,6.7,6.2
"Hamburg",2017-03-06,5.4,5.6,5.9,6.3
"Hamburg",2017-03-07,4.3,4.6,5.3,6
"Hamburg",2017-03-08,4.7,4.7,4.9,5.6
"Hamburg",2017-03-09,6.6,6.3,5.9,5.8
"Hamburg",2017-03-10,7.2,7,6.7,6.3
"Hamburg",2017-03-11,7.2,7.1,6.9,6.6
"Hamburg",2017-03-12,5.2,5.6,6.1,6.6
"Hamburg",2017-03-13,4.9,5.1,5.5,6.3
"Hamburg",2017-03-14,7.7,7.2,6.5,6.3
"Hamburg",2017-03-15,8.5,8.3,7.8,7
"Hamburg",2017-03-16,8,7.8,7.5,7.3
"Hamburg",2017-03-17,8.1,8.1,8,7.6
"Hamburg",2017-03-18,6.7,7,7.3,7.5
"Hamburg",2017-03-19,5.5,5.5,6,7
"Hamburg",2017-03-20,9.6,9,8,7.2
"Hamburg",2017-03-21,8.5,8.6,8.5,7.9
"Hamburg",2017-03-22,7,7.2,7.4,7.7
"Hamburg",2017-03-23,5.5,5.9,6.7,7.5
"Hamburg",2017-03-24,6.8,6.8,6.7,7.1
"Hamburg",2017-03-25,7.5,7.4,7.3,7.3
"Hamburg",2017-03-26,9.4,9.1,8.5,7.8
"Hamburg",2017-03-27,9.8,9.5,8.9,8.2
"Hamburg",2017-03-28,10.9,10.6,9.8,8.7
"Hamburg",2017-03-29,10.2,10.2,10,9.3
"Hamburg",2017-03-30,12.8,12.1,10.8,9.4
"Hamburg",2017-03-31,13.7,13,11.7,10.1
"Hamburg",2017-04-01,13.9,13.4,12.4,10.7
"Hamburg",2017-04-02,13.3,13.1,12.5,11.1
"Hamburg",2017-04-03,13.7,13.3,12.5,11.2
"Hamburg",2017-04-04,11.5,11.6,11.7,11.2
"Hamburg",2017-04-05,10,10.3,10.7,10.8
"Hamburg",2017-04-06,10.8,10.7,10.5,10.4
"Hamburg",2017-04-07,10.6,10.5,10.6,10.4
"Hamburg",2017-04-08,12.5,12,11.1,10.4
"Hamburg",2017-04-09,13.9,13.2,12,10.7
"Hamburg",2017-04-10,11.4,11.7,12,11.3
"Hamburg",2017-04-11,10.5,10.5,10.6,10.8
"Hamburg",2017-04-12,9.2,9.5,10.1,10.5
"Hamburg",2017-04-13,9.2,9.3,9.6,10
"Hamburg",2017-04-14,8.5,8.6,9,9.7
"Hamburg",2017-04-15,9.1,9.2,9.3,9.6
"Hamburg",2017-04-16,9.4,9.3,9.3,9.5
"Hamburg",2017-04-17,8.8,8.9,9.1,9.5
"Hamburg",2017-04-18,7.2,7.7,8.6,9.4
"Hamburg",2017-04-19,6.7,7,7.6,8.7
"Hamburg",2017-04-20,9.1,8.6,8.3,8.6
"Hamburg",2017-04-21,10.6,10.3,9.8,9.3
"Hamburg",2017-04-22,9.2,9.3,9.6,9.6
"Hamburg",2017-04-23,8.5,8.7,9,9.4
"Hamburg",2017-04-24,7.9,8,8.3,9.1
"Hamburg",2017-04-25,8.7,8.8,8.9,9.1
"Hamburg",2017-04-26,8.3,8.3,8.4,8.9
"Hamburg",2017-04-27,9,8.8,8.8,9
"Hamburg",2017-04-28,9.5,9.5,9.4,9.2
"Hamburg",2017-04-29,8.6,8.8,9,9.3
"Hamburg",2017-04-30,11,10.4,9.6,9.2
"Hamburg",2017-05-01,12.5,12,11.1,10
"Hamburg",2017-05-02,11.7,11.6,11.5,10.7
"Hamburg",2017-05-03,11.9,11.6,11.1,10.6
"Hamburg",2017-05-04,9.8,10.1,10.6,10.7
"Hamburg",2017-05-05,8.4,8.7,9.3,10.2
"Hamburg",2017-05-06,12.3,11.6,10.5,9.9
"Hamburg",2017-05-07,14.7,13.8,12.4,10.7
"Hamburg",2017-05-08,11.6,12,12.4,11.7
"Hamburg",2017-05-09,12.1,11.6,11.2,11.1
"Hamburg",2017-05-10,11.9,12,12,11.5
"Hamburg",2017-05-11,15.1,13.9,12.5,11.4
"Hamburg",2017-05-12,15.7,15.1,14.1,12.4
"Hamburg",2017-05-13,16.5,15.9,14.8,12.9
"Hamburg",2017-05-14,18.7,17.5,15.7,13.5
"Hamburg",2017-05-15,19,18.2,16.9,14.4
"Hamburg",2017-05-16,16.4,16.4,16.2,14.9
"Hamburg",2017-05-17,21.1,19.6,17.4,14.9
"Hamburg",2017-05-18,22.3,21.4,19.5,16.2
"Hamburg",2017-05-19,19.6,19.4,18.9,16.8
"Hamburg",2017-05-20,18.1,17.9,17.5,16.5
"Hamburg",2017-05-21,18.1,17.8,17.1,16.1
"Hamburg",2017-05-22,19.6,18.9,17.9,16.2
"Hamburg",2017-05-23,20.2,19.6,18.6,16.7
"Hamburg",2017-05-24,18.3,18.1,17.8,16.8
"Hamburg",2017-05-25,20.3,19.4,18.2,16.6
"Hamburg",2017-05-26,24.2,22.7,20.3,17.2
"Hamburg",2017-05-27,25.1,23.9,21.8,18.4
"Hamburg",2017-05-28,24.4,23.6,22.2,19.2
"Hamburg",2017-05-29,25,23.9,22.2,19.5
"Hamburg",2017-05-30,23.9,23.5,22.5,19.9
"Hamburg",2017-05-31,23,22.6,21.7,19.7
"Hamburg",2017-06-01,22.3,21.9,21,19.4
"Hamburg",2017-06-02,23.5,22.6,21.3,19.3
"Hamburg",2017-06-03,20.5,20.7,20.7,19.5
"Hamburg",2017-06-04,19.2,19.3,19.4,18.8
"Hamburg",2017-06-05,20.2,19.6,18.9,18.1
"Hamburg",2017-06-06,20.2,20.1,19.6,18.4
"Hamburg",2017-06-07,15.1,16.1,17.3,18
"Hamburg",2017-06-08,15.8,15.8,16,16.7
"Hamburg",2017-06-09,18.2,17.8,17.2,16.5
"Hamburg",2017-06-10,18.7,18.2,17.5,16.7
"Hamburg",2017-06-11,22,20.9,19.3,17.3
"Hamburg",2017-06-12,18.9,19.1,19.2,18.1
"Hamburg",2017-06-13,17,17.1,17.4,17.5
"Hamburg",2017-06-14,22.5,21.2,19.1,17.3
"Hamburg",2017-06-15,23,22.2,20.9,18.5
"Hamburg",2017-06-16,19.1,19.4,19.7,18.8
"Hamburg",2017-06-17,19.7,19.4,18.8,18.1
"Hamburg",2017-06-18,23.1,22.1,20.4,18.4
"Hamburg",2017-06-19,25.5,24.3,22.4,19.4
"Hamburg",2017-06-20,26.5,25.6,23.8,20.5
"Hamburg",2017-06-21,24.7,24,23,20.8
"Hamburg",2017-06-22,22.6,22.6,22.3,20.8
"Hamburg",2017-06-23,20.1,20.4,20.7,20.2
"Hamburg",2017-06-24,18.7,18.9,19.3,19.3
"Hamburg",2017-06-25,18.3,18.5,18.7,18.7
"Hamburg",2017-06-26,18.6,18.5,18.4,18.2
"Hamburg",2017-06-27,19.6,19.1,18.4,17.9
"Hamburg",2017-06-28,21.8,21.2,20.2,18.5
"Hamburg",2017-06-29,22.9,22.2,21,19.1
"Hamburg",2017-06-30,17.1,17.9,19,19.2
"Hamburg",2017-07-01,17.3,17.4,17.5,18
"Hamburg",2017-07-02,17.5,17.6,17.6,17.6
"Hamburg",2017-07-03,18.2,17.9,17.6,17.4
"Hamburg",2017-07-04,18.7,18.5,18.2,17.6
"Hamburg",2017-07-05,20,19.7,19,17.9
"Hamburg",2017-07-06,22.9,22,20.4,18.4
"Hamburg",2017-07-07,25,24,22.3,19.5
"Hamburg",2017-07-08,23,22.8,22.2,20.3
"Hamburg",2017-07-09,23.5,22.9,21.7,20.1
"Hamburg",2017-07-10,19.5,20.1,20.8,20.2
"Hamburg",2017-07-11,20,19.9,19.7,19.3
"Hamburg",2017-07-12,17.5,18,18.7,19
"Hamburg",2017-07-13,17.4,17.5,17.7,18.1
"Hamburg",2017-07-14,19.5,19.1,18.5,18
"Hamburg",2017-07-15,19.7,19.5,19.2,18.4
"Hamburg",2017-07-16,18.5,18.6,18.7,18.5
"Hamburg",2017-07-17,20.6,20.1,19.2,18.3
"Hamburg",2017-07-18,22.3,21.6,20.4,18.8
"Hamburg",2017-07-19,23.7,22.9,21.6,19.5
"Hamburg",2017-07-20,22.6,22.3,21.7,20.1
