"STATION_NAME","DATUM","cm_05","cm_10","cm_20","cm_50"
"Munich",2016-11-12,3.5,4.5,6.3,8.5
"Munich",2016-11-13,2.1,3.1,5.4,8.1
"Munich",2016-11-14,1.8,2.7,4.8,7.7
"Munich",2016-11-15,3.6,3.9,5,7.3
"Munich",2016-11-16,7.1,6.7,6.5,7.4
"Munich",2016-11-17,8.2,8.2,7.9,8
"Munich",2016-11-18,7.8,7.7,7.9,8.4
"Munich",2016-11-19,6.7,7.3,8,8.7
"Munich",2016-11-20,4.5,5.2,6.8,8.5
"Munich",2016-11-21,5.9,5.8,6.5,8.1
"Munich",2016-11-22,8,8,7.9,8.3
"Munich",2016-11-23,6,6.4,7.3,8.5
"Munich",2016-11-24,6.3,6.6,7.3,8.4
"Munich",2016-11-25,6.1,6.4,7.2,8.4
"Munich",2016-11-26,6.4,6.6,7.3,8.3
"Munich",2016-11-27,6.2,6.6,7.3,8.3
"Munich",2016-11-28,2.2,3.5,6,8.2
"Munich",2016-11-29,0.2,1.5,4.3,7.4
"Munich",2016-11-30,-0.4,0.8,3.3,6.6
"Munich",2016-12-01,1,1.5,3.2,6
"Munich",2016-12-02,2.4,2.6,3.6,5.8
"Munich",2016-12-03,1.7,2.6,4,5.9
"Munich",2016-12-04,0.6,1.5,3.4,5.7
"Munich",2016-12-05,0.8,1.6,3.1,5.4
"Munich",2016-12-06,0.6,1.4,3,5.2
"Munich",2016-12-07,0.4,1.2,2.8,5
"Munich",2016-12-08,0.6,1.3,2.7,4.8
"Munich",2016-12-09,0.4,1.1,2.6,4.7
"Munich",2016-12-10,1,1.5,2.7,4.6
"Munich",2016-12-11,1,1.5,2.7,4.5
"Munich",2016-12-12,2.8,3,3.3,4.5
"Munich",2016-12-13,1,1.7,3.1,4.7
"Munich",2016-12-14,3.1,3,3.3,4.6
"Munich",2016-12-15,2.7,3.1,3.8,4.8
"Munich",2016-12-16,2.3,2.8,3.7,4.9
"Munich",2016-12-17,1.6,2.2,3.4,4.9
"Munich",2016-12-18,2,2.4,3.3,4.7
"Munich",2016-12-19,1.9,2.4,3.4,4.7
"Munich",2016-12-20,1.2,1.8,3.1,4.7
"Munich",2016-12-21,1,1.6,2.8,4.5
"Munich",2016-12-22,1.2,1.7,2.8,4.4
"Munich",2016-12-23,1.9,2.1,2.8,4.3
"Munich",2016-12-24,3.8,3.7,3.7,4.4
"Munich",2016-12-25,4.7,4.5,4.4,4.7
"Munich",2016-12-26,5.7,5.5,5.1,5.1
"Munich",2016-12-27,2.5,3.3,4.5,5.4
"Munich",2016-12-28,2.6,3.1,4,5.2
"Munich",2016-12-29,1,1.8,3.3,5
"Munich",2016-12-30,-0.1,0.9,2.6,4.6
"Munich",2016-12-31,-0.3,0.5,2.1,4.2
"Munich",2017-01-01,-0.5,0.3,1.9,3.9
"Munich",2017-01-02,-0.8,0,1.6,3.6
"Munich",2017-01-03,-0.1,0.2,1.5,3.4
"Munich",2017-01-04,-0.1,0.3,1.5,3.2
"Munich",2017-01-05,0,0.4,1.5,3.2
"Munich",2017-01-06,-0.3,0.3,1.5,3.1
"Munich",2017-01-07,-0.7,0.1,1.3,3
"Munich",2017-01-08,-0.2,0.1,1.2,2.9
"Munich",2017-01-09,-0.1,0.2,1.3,2.8
"Munich",2017-01-10,0,0.4,1.3,2.8
"Munich",2017-01-11,0,0.4,1.4,2.8
"Munich",2017-01-12,0.1,0.4,1.3,2.7
"Munich",2017-01-13,0.2,0.5,1.3,2.6
"Munich",2017-01-14,0.3,0.7,1.5,2.7
"Munich",2017-01-15,0.4,0.8,1.5,2.7
"Munich",2017-01-16,0.5,0.8,1.6,2.7
"Munich",2017-01-17,0.5,0.9,1.6,2.7
"Munich",2017-01-18,0.5,0.8,1.6,2.7
"Munich",2017-01-19,0.5,0.8,1.6,2.7
"Munich",2017-01-20,0.4,0.8,1.5,2.7
"Munich",2017-01-21,0.3,0.7,1.5,2.6
"Munich",2017-01-22,0.1,0.5,1.4,2.6
"Munich",2017-01-23,-0.2,0.3,1.2,2.5
"Munich",2017-01-24,-0.3,0.2,1.1,2.4
"Munich",2017-01-25,-0.3,0.2,1,2.3
"Munich",2017-01-26,-0.2,0.2,1,2.2
"Munich",2017-01-27,-0.4,0.1,0.9,2.2
"Munich",2017-01-28,-0.5,0,0.9,2.1
"Munich",2017-01-29,-0.5,0,0.8,2
"Munich",2017-01-30,-0.4,-0.1,0.8,2
"Munich",2017-01-31,0,0,0.7,1.9
"Munich",2017-02-01,0.1,0.1,0.7,1.8
"Munich",2017-02-02,1.5,1.1,1.1,1.8
"Munich",2017-02-03,1.9,1.8,1.7,2.1
"Munich",2017-02-04,3.2,2.9,2.5,2.5
"Munich",2017-02-05,2.4,2.5,2.6,2.8
"Munich",2017-02-06,2.1,2.3,2.5,2.9
"Munich",2017-02-07,3,2.8,2.7,2.9
"Munich",2017-02-08,2.2,2.5,2.8,3.1
"Munich",2017-02-09,0.9,1.5,2.3,3.1
"Munich",2017-02-10,0.9,1.3,2,3
"Munich",2017-02-11,1.2,1.4,2,2.9
"Munich",2017-02-12,0.5,1,1.9,2.8
"Munich",2017-02-13,0.8,1.1,1.8,2.7
"Munich",2017-02-14,1,1.2,1.7,2.6
"Munich",2017-02-15,1.4,1.5,1.9,2.6
"Munich",2017-02-16,2.5,2.4,2.3,2.7
"Munich",2017-02-17,3.1,3,2.9,3
"Munich",2017-02-18,3.5,3.5,3.3,3.2
"Munich",2017-02-19,3,3,3.1,3.4
"Munich",2017-02-20,4.7,4.3,3.7,3.5
"Munich",2017-02-21,6.2,5.5,4.6,3.9
"Munich",2017-02-22,7.3,6.7,5.6,4.4
"Munich",2017-02-23,6.8,6.4,5.7,4.9
"Munich",2017-02-24,5.4,5.7,5.7,5.2
"Munich",2017-02-25,4.1,4.4,4.8,5.1
"Munich",2017-02-26,4.2,4.4,4.6,4.9
"Munich",2017-02-27,5.3,5,4.7,4.9
"Munich",2017-02-28,3.3,3.9,4.7,5
"Munich",2017-03-01,3.5,3.6,4,4.7
"Munich",2017-03-02,5.8,5.5,4.9,4.7
"Munich",2017-03-03,4.5,4.4,4.6,4.9
"Munich",2017-03-04,5.9,5.5,5.1,4.9
