STATIONS_ID;MESS_DATUM;QN_2;V_TE002M;V_TE005M;V_TE010M;V_TE020M;V_TE050M;eor
       3379;20161112;    3;  -999;   3.5;   4.5;   6.3;   8.5;eor
       3379;20161113;    3;  -999;   2.1;   3.1;   5.4;   8.1;eor
       3379;20161114;    3;  -999;   1.8;   2.7;   4.8;   7.7;eor
       3379;20161115;    3;  -999;   3.6;   3.9;   5.0;   7.3;eor
       3379;20161116;    3;  -999;   7.1;   6.7;   6.5;   7.4;eor
       3379;20161117;    3;  -999;   8.2;   8.2;   7.9;   8.0;eor
       3379;20161118;    3;  -999;   7.8;   7.7;   7.9;   8.4;eor
       3379;20161119;    3;  -999;   6.7;   7.3;   8.0;   8.7;eor
       3379;20161120;    3;  -999;   4.5;   5.2;   6.8;   8.5;eor
       3379;20161121;    3;  -999;   5.9;   5.8;   6.5;   8.1;eor
       3379;20161122;    3;  -999;   8.0;   8.0;   7.9;   8.3;eor
       3379;20161123;    3;  -999;   6.0;   6.4;   7.3;   8.5;eor
       3379;20161124;    3;  -999;   6.3;   6.6;   7.3;   8.4;eor
       3379;20161125;    3;  -999;   6.1;   6.4;   7.2;   8.4;eor
       3379;20161126;    3;  -999;   6.4;   6.6;   7.3;   8.3;eor
       3379;20161127;    3;  -999;   6.2;   6.6;   7.3;   8.3;eor
       3379;20161128;    3;  -999;   2.2;   3.5;   6.0;   8.2;eor
       3379;20161129;    3;  -999;   0.2;   1.5;   4.3;   7.4;eor
       3379;20161130;    3;  -999;  -0.4;   0.8;   3.3;   6.6;eor
       3379;20161201;    3;  -999;   1.0;   1.5;   3.2;   6.0;eor
       3379;20161202;    3;  -999;   2.4;   2.6;   3.6;   5.8;eor
       3379;20161203;    3;  -999;   1.7;   2.6;   4.0;   5.9;eor
       3379;20161204;    3;  -999;   0.6;   1.5;   3.4;   5.7;eor
       3379;20161205;    3;  -999;   0.8;   1.6;   3.1;   5.4;eor
       3379;20161206;    3;  -999;   0.6;   1.4;   3.0;   5.2;eor
       3379;20161207;    3;  -999;   0.4;   1.2;   2.8;   5.0;eor
       3379;20161208;    3;  -999;   0.6;   1.3;   2.7;   4.8;eor
       3379;20161209;    3;  -999;   0.4;   1.1;   2.6;   4.7;eor
       3379;20161210;    3;  -999;   1.0;   1.5;   2.7;   4.6;eor
       3379;20161211;    3;  -999;   1.0;   1.5;   2.7;   4.5;eor
       3379;20161212;    3;  -999;   2.8;   3.0;   3.3;   4.5;eor
       3379;20161213;    3;  -999;   1.0;   1.7;   3.1;   4.7;eor
       3379;20161214;    3;  -999;   3.1;   3.0;   3.3;   4.6;eor
       3379;20161215;    3;  -999;   2.7;   3.1;   3.8;   4.8;eor
       3379;20161216;    3;  -999;   2.3;   2.8;   3.7;   4.9;eor
       3379;20161217;    3;  -999;   1.6;   2.2;   3.4;   4.9;eor
       3379;20161218;    3;  -999;   2.0;   2.4;   3.3;   4.7;eor
       3379;20161219;    3;  -999;   1.9;   2.4;   3.4;   4.7;eor
       3379;20161220;    3;  -999;   1.2;   1.8;   3.1;   4.7;eor
       3379;20161221;    3;  -999;   1.0;   1.6;   2.8;   4.5;eor
       3379;20161222;    3;  -999;   1.2;   1.7;   2.8;   4.4;eor
       3379;20161223;    3;  -999;   1.9;   2.1;   2.8;   4.3;eor
       3379;20161224;    3;  -999;   3.8;   3.7;   3.7;   4.4;eor
       3379;20161225;    3;  -999;   4.7;   4.5;   4.4;   4.7;eor
       3379;20161226;    3;  -999;   5.7;   5.5;   5.1;   5.1;eor
       3379;20161227;    3;  -999;   2.5;   3.3;   4.5;   5.4;eor
       3379;20161228;    3;  -999;   2.6;   3.1;   4.0;   5.2;eor
